Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Age Group,Month,Day Name
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,31-40,2023-11,Friday
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,18-30,2023-02,Monday
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,41-50,2023-01,Friday
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,31-40,2023-05,Sunday
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,18-30,2023-05,Saturday
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,41-50,2023-04,Tuesday
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,41-50,2023-03,Monday
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,18-30,2023-02,Wednesday
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,60+,2023-12,Wednesday
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,51-60,2023-10,Saturday
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,18-30,2023-02,Tuesday
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,31-40,2023-10,Monday
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,18-30,2023-08,Saturday
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,60+,2023-01,Tuesday
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,41-50,2023-01,Monday
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,18-30,2023-02,Friday
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,18-30,2023-04,Saturday
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,41-50,2023-04,Sunday
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,60+,2023-09,Saturday
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,18-30,2023-11,Sunday
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,41-50,2023-01,Saturday
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,<18,2023-10,Sunday
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,31-40,2023-04,Wednesday
